Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 15:30:07,2018-11-16 15:30:21,14.696s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 15:30:07,2018-11-16 15:30:21,14.418s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 15:30:07,2018-11-16 15:30:15,8.071s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 15:30:15,2018-11-16 15:30:16,1.146s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 15:30:16,2018-11-16 15:30:16,0.228s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 15:30:16,2018-11-16 15:30:21,4.112s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 15:30:21,2018-11-16 15:30:21,0.651s,PASSED
