Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 16:04:14,2018-11-16 16:04:27,13.499s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 16:04:14,2018-11-16 16:04:27,13.233s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 16:04:14,2018-11-16 16:04:23,8.397s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 16:04:23,2018-11-16 16:04:24,1.183s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:04:24,2018-11-16 16:04:24,0.237s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:04:24,2018-11-16 16:04:27,2.501s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 16:04:27,2018-11-16 16:04:27,0.661s,PASSED
