Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 12:15:23,2018-11-16 12:15:37,14.465s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 12:15:23,2018-11-16 12:15:37,14.180s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 12:15:23,2018-11-16 12:15:33,9.146s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 12:15:33,2018-11-16 12:15:34,1.198s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 12:15:34,2018-11-16 12:15:34,0.226s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 12:15:34,2018-11-16 12:15:37,2.717s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 12:15:37,2018-11-16 12:15:37,0.681s,PASSED
