Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 12:19:04,2018-11-16 12:19:29,24.611s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 12:19:05,2018-11-16 12:19:29,24.191s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 12:19:05,2018-11-16 12:19:24,19.203s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 12:19:24,2018-11-16 12:19:25,1.178s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 12:19:25,2018-11-16 12:19:26,0.229s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 12:19:26,2018-11-16 12:19:28,2.638s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 12:19:28,2018-11-16 12:19:29,0.652s,PASSED
