Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:36:03,2018-11-15 15:36:18,15.565s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:36:03,2018-11-15 15:36:18,15.263s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:36:03,2018-11-15 15:36:13,9.533s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:36:13,2018-11-15 15:36:14,1.165s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:36:14,2018-11-15 15:36:14,0.326s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:36:14,2018-11-15 15:36:18,3.380s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:36:18,2018-11-15 15:36:18,0.638s,PASSED
