Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:25:53,2018-11-15 15:26:08,15.376s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:25:53,2018-11-15 15:26:08,15.099s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:25:53,2018-11-15 15:26:03,9.475s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:26:03,2018-11-15 15:26:04,1.182s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:26:04,2018-11-15 15:26:04,0.230s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:26:04,2018-11-15 15:26:07,3.310s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:26:07,2018-11-15 15:26:08,0.666s,PASSED
