Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 15:02:12,2018-11-16 15:02:38,26.576s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 15:02:12,2018-11-16 15:02:38,26.262s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 15:02:12,2018-11-16 15:02:33,20.674s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 15:02:33,2018-11-16 15:02:34,1.183s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 15:02:34,2018-11-16 15:02:34,0.217s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 15:02:34,2018-11-16 15:02:37,3.292s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 15:02:37,2018-11-16 15:02:38,0.626s,PASSED
