Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 16:09:43,2018-11-16 16:09:57,13.906s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 16:09:43,2018-11-16 16:09:57,13.613s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 16:09:43,2018-11-16 16:09:52,8.896s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 16:09:52,2018-11-16 16:09:53,1.175s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:09:53,2018-11-16 16:09:54,0.252s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:09:54,2018-11-16 16:09:56,2.390s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 16:09:56,2018-11-16 16:09:57,0.668s,PASSED
