Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:27:06,2018-11-15 15:27:21,14.594s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:27:07,2018-11-15 15:27:21,14.245s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:27:07,2018-11-15 15:27:16,8.597s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:27:16,2018-11-15 15:27:17,1.290s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:27:17,2018-11-15 15:27:17,0.229s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:27:17,2018-11-15 15:27:20,3.285s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:27:20,2018-11-15 15:27:21,0.615s,PASSED
