Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:11:43,2018-11-15 15:11:58,14.234s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:11:44,2018-11-15 15:11:58,13.861s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:11:44,2018-11-15 15:11:53,8.657s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:11:53,2018-11-15 15:11:54,1.168s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:11:54,2018-11-15 15:11:54,0.269s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:11:54,2018-11-15 15:11:57,2.906s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:11:57,2018-11-15 15:11:58,0.653s,PASSED
