Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 12:17:58,2018-11-16 12:18:12,14.674s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 12:17:58,2018-11-16 12:18:12,14.364s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 12:17:58,2018-11-16 12:18:07,9.042s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 12:18:07,2018-11-16 12:18:08,1.196s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 12:18:08,2018-11-16 12:18:09,0.300s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 12:18:09,2018-11-16 12:18:12,2.900s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 12:18:12,2018-11-16 12:18:12,0.656s,PASSED
