Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 12:38:30,2018-11-16 12:38:46,16.784s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 12:38:30,2018-11-16 12:38:46,16.489s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 12:38:30,2018-11-16 12:38:40,9.792s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 12:38:40,2018-11-16 12:38:41,1.139s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 12:38:41,2018-11-16 12:38:41,0.211s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 12:38:41,2018-11-16 12:38:46,4.484s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 12:38:46,2018-11-16 12:38:46,0.634s,PASSED
