Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 16:06:25,2018-11-16 16:06:54,28.184s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 16:06:26,2018-11-16 16:06:54,27.882s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 16:06:26,2018-11-16 16:06:49,22.811s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 16:06:49,2018-11-16 16:06:50,1.165s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:06:50,2018-11-16 16:06:50,0.219s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:06:50,2018-11-16 16:06:53,2.807s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 16:06:53,2018-11-16 16:06:54,0.636s,PASSED
