Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-19 11:06:47,2018-11-19 11:07:04,16.537s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-19 11:06:47,2018-11-19 11:07:04,16.244s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 11:06:47,2018-11-19 11:06:59,11.271s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 11:06:59,2018-11-19 11:07:00,1.177s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 11:07:00,2018-11-19 11:07:00,0.317s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 11:07:00,2018-11-19 11:07:03,2.596s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 11:07:03,2018-11-19 11:07:04,0.657s,PASSED
