Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-19 11:36:38,2018-11-19 11:36:54,16.206s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-19 11:36:38,2018-11-19 11:36:54,15.917s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 11:36:38,2018-11-19 11:36:48,9.608s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 11:36:48,2018-11-19 11:36:49,1.241s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 11:36:49,2018-11-19 11:36:49,0.185s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 11:36:49,2018-11-19 11:36:53,4.031s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 11:36:53,2018-11-19 11:36:54,0.621s,PASSED
