Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 16:00:42,2018-11-15 16:00:57,15.260s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 16:00:43,2018-11-15 16:00:57,14.853s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 16:00:43,2018-11-15 16:00:52,9.660s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 16:00:52,2018-11-15 16:00:54,1.139s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 16:00:54,2018-11-15 16:00:54,0.223s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:00:54,2018-11-15 16:00:57,2.922s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 16:00:57,2018-11-15 16:00:57,0.701s,PASSED
