Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 12:17:19,2018-11-16 12:17:36,16.771s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 12:17:19,2018-11-16 12:17:36,16.500s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 12:17:19,2018-11-16 12:17:29,9.028s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 12:17:29,2018-11-16 12:17:30,1.188s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 12:17:30,2018-11-16 12:17:30,0.272s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 12:17:30,2018-11-16 12:17:35,5.181s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 12:17:35,2018-11-16 12:17:36,0.614s,PASSED
