Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 14:55:24,2018-11-15 14:55:51,26.460s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 14:55:24,2018-11-15 14:55:50,26.022s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 14:55:25,2018-11-15 14:55:46,21.023s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 14:55:46,2018-11-15 14:55:47,1.148s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 14:55:47,2018-11-15 14:55:47,0.220s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 14:55:47,2018-11-15 14:55:50,2.635s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 14:55:50,2018-11-15 14:55:50,0.749s,PASSED
