Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 15:28:08,2018-11-16 15:28:22,13.846s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 15:28:09,2018-11-16 15:28:22,13.306s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 15:28:09,2018-11-16 15:28:17,8.201s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 15:28:17,2018-11-16 15:28:18,1.197s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 15:28:18,2018-11-16 15:28:18,0.210s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 15:28:18,2018-11-16 15:28:21,2.838s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 15:28:21,2018-11-16 15:28:22,0.651s,PASSED
