Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 16:03:03,2018-11-16 16:03:18,14.337s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 16:03:03,2018-11-16 16:03:18,14.051s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 16:03:04,2018-11-16 16:03:13,9.096s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 16:03:13,2018-11-16 16:03:14,1.193s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:03:14,2018-11-16 16:03:14,0.269s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:03:14,2018-11-16 16:03:17,2.648s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 16:03:17,2018-11-16 16:03:18,0.624s,PASSED
