Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-19 11:04:20,2018-11-19 11:04:41,20.343s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-19 11:04:21,2018-11-19 11:04:41,20.053s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 11:04:21,2018-11-19 11:04:36,14.808s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 11:04:36,2018-11-19 11:04:37,1.180s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 11:04:37,2018-11-19 11:04:37,0.245s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 11:04:37,2018-11-19 11:04:40,2.948s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 11:04:40,2018-11-19 11:04:41,0.664s,PASSED
