Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 15:59:12,2018-11-16 15:59:27,15.641s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 15:59:12,2018-11-16 15:59:27,15.370s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 15:59:12,2018-11-16 15:59:22,9.601s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 15:59:22,2018-11-16 15:59:23,1.257s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 15:59:23,2018-11-16 15:59:23,0.228s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 15:59:23,2018-11-16 15:59:27,3.436s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 15:59:27,2018-11-16 15:59:27,0.611s,PASSED
