Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 12:03:00,2018-11-16 12:03:22,21.925s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 12:03:01,2018-11-16 12:03:22,21.495s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 12:03:01,2018-11-16 12:03:13,12.006s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 12:03:13,2018-11-16 12:03:14,1.316s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 12:03:14,2018-11-16 12:03:14,0.276s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 12:03:14,2018-11-16 12:03:21,6.874s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 12:03:21,2018-11-16 12:03:22,0.672s,PASSED
