Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:38:55,2018-11-15 15:39:24,28.438s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:38:55,2018-11-15 15:39:23,28.016s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:38:56,2018-11-15 15:39:18,22.630s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:39:18,2018-11-15 15:39:19,1.169s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:39:19,2018-11-15 15:39:20,0.209s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:39:20,2018-11-15 15:39:23,3.126s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:39:23,2018-11-15 15:39:23,0.641s,PASSED
