Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:03:46,2018-11-15 15:04:04,18.339s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:03:46,2018-11-15 15:04:04,18.065s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:03:46,2018-11-15 15:03:58,11.832s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:03:58,2018-11-15 15:04:00,1.309s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:04:00,2018-11-15 15:04:00,0.222s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:04:00,2018-11-15 15:04:04,3.832s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:04:04,2018-11-15 15:04:04,0.641s,PASSED
