Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 16:07:55,2018-11-16 16:08:20,24.784s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 16:07:55,2018-11-16 16:08:20,24.477s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 16:07:56,2018-11-16 16:08:14,18.774s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 16:08:14,2018-11-16 16:08:16,1.161s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:08:16,2018-11-16 16:08:16,0.289s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:08:16,2018-11-16 16:08:19,3.300s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 16:08:19,2018-11-16 16:08:20,0.646s,PASSED
