Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-19 11:39:01,2018-11-19 11:39:26,24.859s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-19 11:39:01,2018-11-19 11:39:26,24.607s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 11:39:01,2018-11-19 11:39:21,19.271s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 11:39:21,2018-11-19 11:39:22,1.294s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 11:39:22,2018-11-19 11:39:22,0.284s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 11:39:22,2018-11-19 11:39:25,2.908s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 11:39:25,2018-11-19 11:39:26,0.615s,PASSED
