Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:28:15,2018-11-15 15:28:30,14.908s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:28:15,2018-11-15 15:28:30,14.614s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:28:16,2018-11-15 15:28:25,9.548s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:28:25,2018-11-15 15:28:26,1.139s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:28:26,2018-11-15 15:28:27,0.211s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:28:27,2018-11-15 15:28:29,2.589s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:28:29,2018-11-15 15:28:30,0.894s,PASSED
