Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 15:26:06,2018-11-16 15:26:20,13.696s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 15:26:07,2018-11-16 15:26:20,13.407s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 15:26:07,2018-11-16 15:26:16,8.614s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 15:26:16,2018-11-16 15:26:17,1.163s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 15:26:17,2018-11-16 15:26:17,0.220s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 15:26:17,2018-11-16 15:26:19,2.466s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 15:26:19,2018-11-16 15:26:20,0.703s,PASSED
