Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:14:31,2018-11-15 15:14:47,16.435s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:14:31,2018-11-15 15:14:47,16.044s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:14:31,2018-11-15 15:14:43,11.045s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:14:43,2018-11-15 15:14:44,1.143s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:14:44,2018-11-15 15:14:44,0.193s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:14:44,2018-11-15 15:14:47,2.811s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:14:47,2018-11-15 15:14:47,0.637s,PASSED
