Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 15:24:07,2018-11-16 15:24:22,15.001s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 15:24:07,2018-11-16 15:24:21,14.742s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 15:24:07,2018-11-16 15:24:16,9.458s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 15:24:16,2018-11-16 15:24:18,1.147s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 15:24:18,2018-11-16 15:24:18,0.266s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 15:24:18,2018-11-16 15:24:21,2.988s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 15:24:21,2018-11-16 15:24:21,0.651s,PASSED
