Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 14:59:45,2018-11-15 15:00:01,15.894s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 14:59:46,2018-11-15 15:00:01,15.423s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 14:59:46,2018-11-15 14:59:55,9.191s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 14:59:55,2018-11-15 14:59:56,1.178s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 14:59:56,2018-11-15 14:59:56,0.231s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 14:59:56,2018-11-15 15:00:00,3.963s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:00:00,2018-11-15 15:00:01,0.641s,PASSED
