Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 16:03:55,2018-11-15 16:04:10,15.170s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 16:03:55,2018-11-15 16:04:10,14.897s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 16:03:56,2018-11-15 16:04:05,9.593s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 16:04:05,2018-11-15 16:04:06,1.275s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 16:04:06,2018-11-15 16:04:07,0.210s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:04:07,2018-11-15 16:04:10,2.962s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 16:04:10,2018-11-15 16:04:10,0.626s,PASSED
