Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-19 10:55:49,2018-11-19 10:56:06,17.081s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-19 10:55:49,2018-11-19 10:56:06,16.782s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 10:55:50,2018-11-19 10:56:01,10.918s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 10:56:01,2018-11-19 10:56:02,1.167s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 10:56:02,2018-11-19 10:56:02,0.370s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 10:56:02,2018-11-19 10:56:06,3.411s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 10:56:06,2018-11-19 10:56:06,0.668s,PASSED
