Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-16 15:22:08,2018-11-16 15:22:21,13.839s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-16 15:22:08,2018-11-16 15:22:21,13.570s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 15:22:08,2018-11-16 15:22:17,8.711s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 15:22:17,2018-11-16 15:22:18,1.176s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 15:22:18,2018-11-16 15:22:18,0.271s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 15:22:18,2018-11-16 15:22:21,2.522s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-16 15:22:21,2018-11-16 15:22:21,0.661s,PASSED
