Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-15 15:37:36,2018-11-15 15:37:50,14.152s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-15 15:37:36,2018-11-15 15:37:50,13.880s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 15:37:37,2018-11-15 15:37:46,8.955s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 15:37:46,2018-11-15 15:37:47,1.180s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 15:37:47,2018-11-15 15:37:47,0.243s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 15:37:47,2018-11-15 15:37:50,2.623s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 15:37:50,2018-11-15 15:37:50,0.641s,PASSED
