Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.102,,2018-11-19 11:46:38,2018-11-19 11:46:57,18.723s,PASSED
,,,,,,
Test Cases/TC1_Open BrowserWith Web UrL,Chrome 70.0.3538.102,,2018-11-19 11:46:38,2018-11-19 11:46:57,18.459s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 11:46:39,2018-11-19 11:46:49,10.161s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 11:46:49,2018-11-19 11:46:50,1.169s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 11:46:50,2018-11-19 11:46:50,0.226s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 11:46:50,2018-11-19 11:46:56,6.032s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 11:46:56,2018-11-19 11:46:57,0.635s,PASSED
